rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,3.09,0.2,94.69
2,2,Bayern Munich,German Bundesliga,3.17,0.32,93.58
3,3,Liverpool,Barclays Premier League,2.86,0.26,92.6
4,4,Barcelona,Spanish Primera Division,2.89,0.42,90.37
5,5,Juventus,Italy Serie A,2.72,0.39,89.72
6,6,Paris Saint-Germain,French Ligue 1,2.83,0.49,88.87
7,7,Real Madrid,Spanish Primera Division,2.59,0.57,85.31
8,8,Tottenham Hotspur,Barclays Premier League,2.37,0.52,83.73
9,9,Atletico Madrid,Spanish Primera Division,2.21,0.44,83.6
10,10,Chelsea,Barclays Premier League,2.39,0.55,83.5
11,11,RB Leipzig,German Bundesliga,2.34,0.52,83.39
12,12,Borussia Dortmund,German Bundesliga,2.52,0.64,83.08
13,13,Ajax,Dutch Eredivisie,3.04,0.97,82.94
14,14,Napoli,Italy Serie A,2.49,0.65,82.5
15,15,FC Salzburg,Austrian T-Mobile Bundesliga,2.85,0.88,82.31
16,16,Bayer Leverkusen,German Bundesliga,2.42,0.63,82.23
17,17,Manchester United,Barclays Premier League,2.32,0.57,82.17
18,18,Internazionale,Italy Serie A,2.3,0.64,80.52
19,19,Arsenal,Barclays Premier League,2.38,0.72,79.93
20,20,FC Porto,Portuguese Liga,2.24,0.7,78.27
21,21,Sevilla FC,Spanish Primera Division,2.09,0.63,77.64
22,22,Everton,Barclays Premier League,2.01,0.58,77.62
23,23,Benfica,Portuguese Liga,2.32,0.8,77.31
24,24,Leicester City,Barclays Premier League,1.99,0.6,76.73
25,25,Valencia,Spanish Primera Division,2.14,0.71,76.62
26,26,AC Milan,Italy Serie A,2.07,0.69,76.12
27,27,Athletic Bilbao,Spanish Primera Division,1.84,0.56,75.3
28,28,TSG Hoffenheim,German Bundesliga,2.3,0.89,75.16
29,29,Olympiacos,Greek Super League,2.23,0.85,74.86
30,30,Real Sociedad,Spanish Primera Division,1.92,0.68,73.78
31,31,Eintracht Frankfurt,German Bundesliga,2.01,0.75,73.64
32,32,Lyon,French Ligue 1,2.09,0.81,73.63
33,33,Wolverhampton,Barclays Premier League,1.9,0.69,73.43
34,34,Eibar,Spanish Primera Division,1.92,0.7,73.34
35,35,Zenit St Petersburg,Russian Premier Liga,1.91,0.7,73.06
36,36,Getafe,Spanish Primera Division,1.78,0.64,72.49
37,37,FC Krasnodar,Russian Premier Liga,1.92,0.75,72.11
38,38,PSV,Dutch Eredivisie,2.2,0.97,71.65
39,39,AS Roma,Italy Serie A,2.03,0.87,71.19
40,40,Young Boys,Swiss Raiffeisen Super League,2.34,1.11,71.19
41,46,Flamengo,Brasileiro Série A,1.98,0.84,71.15
42,41,Crystal Palace,Barclays Premier League,1.9,0.78,71.06
43,42,Shakhtar Donetsk,UEFA Champions League,2.12,0.95,70.97
44,43,VfL Wolfsburg,German Bundesliga,1.96,0.83,70.91
45,44,Borussia Monchengladbach,German Bundesliga,2.0,0.86,70.89
46,45,Lazio,Italy Serie A,1.95,0.83,70.83
47,47,Real Betis,Spanish Primera Division,1.97,0.85,70.68
48,50,Palmeiras,Brasileiro Série A,1.71,0.67,70.47
49,48,Villarreal,Spanish Primera Division,2.05,0.93,70.1
50,49,Southampton,Barclays Premier League,1.88,0.83,69.57
51,51,West Ham United,Barclays Premier League,2.0,0.92,69.4
52,52,Schalke 04,German Bundesliga,1.83,0.8,69.39
53,53,Werder Bremen,German Bundesliga,2.01,0.94,69.29
54,54,Newcastle,Barclays Premier League,1.76,0.75,69.14
