id,index,match_id,period,timestamp,minute,second,event_type_id,event_type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,player_id,player_name,player_position_id,player_position_name,location_x,location_y,end_location_x,end_location_y,end_location_z,impact_height,duration,under_pressure,counterpress,substituted_player_id,substituted_player_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_cross,pass_cut_back,pass_switch,assisted_shot_id,key_pass_id,follows_dribble,one_on_one,open_goal,statsbomb_xg,off_camera,out,obv_for_after,obv_for_before,obv_for_net,obv_against_after,obv_against_before,obv_against_net,obv_total_net,outcome_id,outcome_name,type_id,type_name,card_id,card_name,body_part_id,body_part_name,technique_id,technique_name,position_id,position_name,advantage,aerial_won,backheel,defensive,deflected,deflection,first_time,in_chain,miscommunication,nutmeg,offensive,overrun,penalty,recovery_failure,redirect,save_block,through_ball,throw_in,early_video_end,late_video_start,match_suspended,related_events,freeze_frame_player_id,freeze_frame_player_name,freeze_frame_player_position_id,freeze_frame_player_position_name,freeze_frame_teammate,freeze_frame_x,freeze_frame_y,formation_player_id,formation_player_name,formation_position_id,formation_position_name,formation_jersey_number,shot_shot_assist,shot_goal_assist,pass_cluster_id,pass_cluster_label,pass_cluster_probability,pass_success_probability,shot_execution_xg,shot_execution_xg_uplift,gk_save_difficulty_xg,gk_positioning_xg_suppression,gk_shot_stopping_xg_suppression
b8a31492-cfa2-465c-9e53-1004d4ee69c2,1,3946949,1,00:00,0,0,35,Starting XI,1,6468,Samsunspor,1,Regular Play,6468,Samsunspor,,,,,,,,,,,0.0,false,false,,,,,,,,,,,,,,false,,,,false,false,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,
0a64c9a6-05f8-48b5-93bb-ea925a2a4033,2,3946949,1,00:00,0,0,35,Starting XI,1,6468,Samsunspor,1,Regular Play,996,Beşiktaş,,,,,,,,,,,0.0,false,false,,,,,,,,,,,,,,false,,,,false,false,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,
649acbf3-438f-4c79-b146-e49a68eeb32c,3,3946949,1,00:00,0,0,18,Half Start,1,6468,Samsunspor,1,Regular Play,996,Beşiktaş,,,,,,,,,,,0.0,false,false,,,,,,,,,,,,,,false,,,,false,false,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,14bd6180-3c19-4d2f-b64c-0e5686900e9b,,,,,,,,,,,,,,,,,,,,,,,
14bd6180-3c19-4d2f-b64c-0e5686900e9b,4,3946949,1,00:00,0,0,18,Half Start,1,6468,Samsunspor,1,Regular Play,6468,Samsunspor,,,,,,,,,,,0.0,false,false,,,,,,,,,,,,,,false,,,,false,false,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,649acbf3-438f-4c79-b146-e49a68eeb32c,,,,,,,,,,,,,,,,,,,,,,,
b3c41a7f-dbe7-4397-9c83-4a7c122d404e,5,3946949,1,00:00:00.577,0,0,30,Pass,2,6468,Samsunspor,9,From Kick Off,6468,Samsunspor,18574,Carlo Holse,13,Right Center Midfield,60.0,40.0,50.4,34.6,,,0.785135,false,false,,,10530,Jules Olivier Ntcham,11.014536,-2.629203,1,Ground Pass,false,false,false,,,false,,,,false,false,0.016556764,0.007439294,0.00911747,0.010390667,0.008581229,0.0018094387,0.0073080314,,,65,Kick Off,,,38,Left Foot,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,fc3f9439-7a81-461e-8b6e-dfe4664d5726,,,,,,,,,,,,,,,,,,0.9985893369,,,,,
fc3f9439-7a81-461e-8b6e-dfe4664d5726,6,3946949,1,00:00:01.362,0,1,42,Ball Receipt*,2,6468,Samsunspor,9,From Kick Off,6468,Samsunspor,10530,Jules Olivier Ntcham,15,Left Center Midfield,50.4,34.6,,,,,,false,false,,,,,,,,,,,,,,false,,,,false,false,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,b3c41a7f-dbe7-4397-9c83-4a7c122d404e,,,,,,,,,,,,,,,,,,,,,,,
2863f019-7ca6-48ba-8408-cc390d25f682,7,3946949,1,00:00:01.362,0,1,43,Carries,2,6468,Samsunspor,9,From Kick Off,6468,Samsunspor,10530,Jules Olivier Ntcham,15,Left Center Midfield,50.4,34.6,49.4,31.9,,,1.137648,false,false,,,,,,,,,,,,,,false,,,,false,false,0.015723592,0.016556764,-8.331724E-4,0.0103238495,0.010390667,-6.68177E-5,-7.663546E-4,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"6015a8b6-c280-4bc5-8c2a-247b8cd89f42, fc3f9439-7a81-461e-8b6e-dfe4664d5726",,,,,,,,,,,,,,,,,,,,,,,
6015a8b6-c280-4bc5-8c2a-247b8cd89f42,8,3946949,1,00:00:02.500,0,2,30,Pass,2,6468,Samsunspor,9,From Kick Off,6468,Samsunspor,10530,Jules Olivier Ntcham,15,Left Center Midfield,49.4,31.9,44.2,9.0,,,1.336081,false,false,,,4123,Marc Bola,23.482973,-1.7940842,1,Ground Pass,false,false,false,,,false,,,,false,false,0.012468234,0.015723592,-0.003255358,0.011714652,0.0103238495,0.0013908027,-0.0046461606,,,,,,,40,Right Foot,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,b3c6dd9b-5194-430b-9bd5-57dc15b2f6ae,,,,,,,,,,,,,,,30,Midfield third - Center - To left - Short - Ground Pass,0.9625258026,0.9882469773,,,,,
b3c6dd9b-5194-430b-9bd5-57dc15b2f6ae,9,3946949,1,00:00:03.836,0,3,42,Ball Receipt*,2,6468,Samsunspor,9,From Kick Off,6468,Samsunspor,4123,Marc Bola,6,Left Back,44.2,9.0,,,,,,false,false,,,,,,,,,,,,,,false,,,,false,false,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,6015a8b6-c280-4bc5-8c2a-247b8cd89f42,,,,,,,,,,,,,,,,,,,,,,,
60799d91-2c4f-4e3f-a61b-b3c07fbe0121,10,3946949,1,00:00:03.836,0,3,43,Carries,2,6468,Samsunspor,9,From Kick Off,6468,Samsunspor,4123,Marc Bola,6,Left Back,44.2,9.0,43.5,8.9,,,0.442337,false,false,,,,,,,,,,,,,,false,,,,false,false,0.012620694,0.012468234,1.524603E-4,0.011695181,0.011714652,-1.94712E-5,1.719315E-4,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"b3c6dd9b-5194-430b-9bd5-57dc15b2f6ae, e194d901-1781-43cc-9fe7-2fda2a7128bd",,,,,,,,,,,,,,,,,,,,,,,
